time,gun_no,W_Error,C_Cylinder_force,C_Differential_pressure,W_Friction,W_Maximum_aperture,W_Maximum_electrode_force,W_Start_friction,W_us2,W_Welding_point_count,W_position_count,area,in_Counterbalance_pressure,in_Electrode_force,in_Electrode_position,in_Sheet_thickness,in_Velocity,in_force_build_up,out_Cap_offset,out_Electrode_force,out_Electrode_position,out_force_build_up,lifetime
1620943251,0,0,278,0.38,-95,152.8,5013,296,1,351875,12274880,MF,14.99,3400,150,2,1,0,0.3,0,149.2,0,432000
1620943252,0,0,238,0.53,-95,152.8,5013,296,1,351875,12274880,MF,14.99,3400,150,2,1,0,0.3,62,148.8,0,432000
1620943253,0,0,3497,-5.3,-95,152.8,5013,296,1,351876,12274881,MF,11.49,3400,150,2,1,1,0.3,3400,0.1,0,432000
1620943254,0,0,-43,0.86,-95,152.8,5013,296,1,351876,12274881,MF,11.49,3400,150,2,1,1,0.3,3400,0.1,1,432000
1620943255,0,0,3510,-5.27,-95,152.8,5013,296,1,351877,12274883,MF,11.49,3400,30,2,1,1,0.3,3400,0.1,1,432000
1620943268,0,0,93,0.81,-95,152.8,5013,296,1,351881,12274892,MF,14.99,3500,150,2,1,0,0.3,0,149.1,0,432000
1620943269,0,0,119,0.83,-95,152.8,5013,296,1,351881,12274892,MF,14.99,3500,150,2,1,0,0.3,0,149.1,0,432000
1620943270,0,0,121,0.82,-95,152.8,5013,296,1,351881,12274892,MF,14.99,3500,150,2,1,0,0.3,0,149.1,0,432000
1620943271,0,0,130,0.84,-95,152.8,5013,296,1,351881,12274892,MF,14.99,3500,150,2,1,0,0.3,0,149.1,0,432000
1620943272,0,0,137,0.81,-95,152.8,5013,296,1,351881,12274892,MF,14.99,3500,150,2,1,0,0.3,0,149.1,0,432000
1620943273,0,0,143,0.81,-95,152.8,5013,296,1,351881,12274892,MF,14.99,3500,150,2,1,0,0.3,0,149.1,0,432000
1620943274,0,0,159,0.81,-95,152.8,5013,296,1,351881,12274892,MF,14.99,3500,150,2,1,0,0.3,0,149.1,0,432000
